"date","minutes_url","jornada_number","visitor_team_name","visitor_team_id","season","time","categoria_id","local_points","visitor_points","local_team_id","local_team_name"
"15/10/2016","liga_eacta.php?IDENCUENTRO=131701033&EL=ARENAL CTM MILAGROSA&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","3","LICEO DE NOIA","16010","2016-2017","17:00","17","1","5","16008","ARENAL CTM MILAGROSA"
"15/10/2016","liga_eacta.php?IDENCUENTRO=131701034&EL=NARONENSE&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","3","CLUB DEL MAR PROMESAS","1007","2016-2017","18:00","17","3","4","10490","NARONENSE"
"16/10/2016","liga_eacta.php?IDENCUENTRO=131701035&EL=MERCANTIL VIGO TENIS DE MESA&EV=HELIOS BEMBRIVE, T.M.&IDJORNADA=100&IDNIVEL=17#acta","3","HELIOS BEMBRIVE, T.M.","832","2016-2017","11:00","17","0","6","14025","MERCANTIL VIGO TENIS DE MESA"
"16/10/2016","liga_eacta.php?IDENCUENTRO=131701036&EL=LICEO CASINO&EV=MONTE PORREIRO PUB PATRIMONIO&IDJORNADA=100&IDNIVEL=17#acta","3","MONTE PORREIRO PUB PATRIMONIO","16009","2016-2017","11:00","17","4","3","10573","LICEO CASINO"
"22/10/2016","liga_eacta.php?IDENCUENTRO=131701041&EL=LICEO DE NOIA&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","4","CLUB FERROL TM","10504","2016-2017","16:00","17","4","2","16010","LICEO DE NOIA"
"22/10/2016","liga_eacta.php?IDENCUENTRO=131701042&EL=HELIOS BEMBRIVE, T.M.&EV=ARENAL CTM MILAGROSA&IDJORNADA=100&IDNIVEL=17#acta","4","ARENAL CTM MILAGROSA","16008","2016-2017","17:00","17","4","2","832","HELIOS BEMBRIVE, T.M."
"22/10/2016","liga_eacta.php?IDENCUENTRO=131701043&EL=C.T.M. CORUÑA&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","4","ARTEAL","1274","2016-2017","17:00","17","3","4","796","C.T.M. CORUÑA"
"22/10/2016","liga_eacta.php?IDENCUENTRO=131701044&EL=CD DEZ PORTAS LUGAUTO&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","4","LICEO CASINO","10573","2016-2017","17:00","17","2","4","16104","CD DEZ PORTAS LUGAUTO"
"23/10/2016","liga_eacta.php?IDENCUENTRO=131701045&EL=CLUB DEL MAR PROMESAS&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","4","MERCANTIL VIGO TENIS DE MESA","14025","2016-2017","11:00","17","5","1","1007","CLUB DEL MAR PROMESAS"
"23/10/2016","liga_eacta.php?IDENCUENTRO=131701046&EL=MONTE PORREIRO PUB PATRIMONIO&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","4","NARONENSE","10490","2016-2017","11:00","17","3","4","16009","MONTE PORREIRO PUB PATRIMONIO"
"12/11/2016","liga_eacta.php?IDENCUENTRO=131701051&EL=HELIOS BEMBRIVE, T.M.&EV=CLUB DEL MAR PROMESAS&IDJORNADA=100&IDNIVEL=17#acta","5","CLUB DEL MAR PROMESAS","1007","2016-2017","17:00","17","6","0","832","HELIOS BEMBRIVE, T.M."
"12/11/2016","liga_eacta.php?IDENCUENTRO=131701052&EL=ARENAL CTM MILAGROSA&EV=CLUB FERROL TM&IDJORNADA=100&IDNIVEL=17#acta","5","CLUB FERROL TM","10504","2016-2017","17:00","17","5","1","16008","ARENAL CTM MILAGROSA"
"12/11/2016","liga_eacta.php?IDENCUENTRO=131701053&EL=ARTEAL&EV=LICEO DE NOIA&IDJORNADA=100&IDNIVEL=17#acta","5","LICEO DE NOIA","16010","2016-2017","17:00","17","1","5","1274","ARTEAL"
"12/11/2016","liga_eacta.php?IDENCUENTRO=131701054&EL=NARONENSE&EV=CD DEZ PORTAS LUGAUTO&IDJORNADA=100&IDNIVEL=17#acta","5","CD DEZ PORTAS LUGAUTO","16104","2016-2017","18:00","17","5","1","10490","NARONENSE"
"13/11/2016","liga_eacta.php?IDENCUENTRO=131701055&EL=LICEO CASINO&EV=C.T.M. CORUÑA&IDJORNADA=100&IDNIVEL=17#acta","5","C.T.M. CORUÑA","796","2016-2017","11:00","17","5","1","10573","LICEO CASINO"
"13/11/2016","liga_eacta.php?IDENCUENTRO=131701056&EL=MERCANTIL VIGO TENIS DE MESA&EV=MONTE PORREIRO PUB PATRIMONIO&IDJORNADA=100&IDNIVEL=17#acta","5","MONTE PORREIRO PUB PATRIMONIO","16009","2016-2017","11:00","17","4","2","14025","MERCANTIL VIGO TENIS DE MESA"
"19/11/2016","liga_eacta.php?IDENCUENTRO=131701061&EL=LICEO DE NOIA&EV=LICEO CASINO&IDJORNADA=100&IDNIVEL=17#acta","6","LICEO CASINO","10573","2016-2017","16:00","17","5","1","16010","LICEO DE NOIA"
"19/11/2016","liga_eacta.php?IDENCUENTRO=131701062&EL=CLUB FERROL TM&EV=ARTEAL&IDJORNADA=100&IDNIVEL=17#acta","6","ARTEAL","1274","2016-2017","17:00","17","2","4","10504","CLUB FERROL TM"
"19/11/2016","liga_eacta.php?IDENCUENTRO=131701063&EL=CD DEZ PORTAS LUGAUTO&EV=MERCANTIL VIGO TENIS DE MESA&IDJORNADA=100&IDNIVEL=17#acta","6","MERCANTIL VIGO TENIS DE MESA","14025","2016-2017","17:00","17","1","5","16104","CD DEZ PORTAS LUGAUTO"
"19/11/2016","liga_eacta.php?IDENCUENTRO=131701064&EL=C.T.M. CORUÑA&EV=NARONENSE&IDJORNADA=100&IDNIVEL=17#acta","6","NARONENSE","10490","2016-2017","17:00","17","2","4","796","C.T.M. CORUÑA"
